,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5,UnorderList,TableData
0,https://nulms.namal.edu.pk,Namal Institute LMS,#maincontent,https://nulms.namal.edu.pk/pluginfile.php/1/core_admin/logo/0x150/1613570337/NULMS%20Purple%20Logo.png, , ,Courses, , , ,"
                ", 
1, , ,https://nulms.namal.edu.pk,https://nulms.namal.edu.pk/theme/image.php/boost/core/1613570337/moodlelogo, , , , , , ,"
                
                ", 
2, , ,https://nulms.namal.edu.pk/login/index.php, , , , , , , ,"
                
            ", 
3, , ,#skipcourses, , , , , , , ,"
                ", 
4, , ,#, , , , , , , ,"
                
            ", 
5, , ,https://nulms.namal.edu.pk/course/index.php?categoryid=111, , , , , , , ,"
                ", 
6, , ,https://nulms.namal.edu.pk/course/index.php?categoryid=112, , , , , , , ,"
                ", 
7, , ,https://nulms.namal.edu.pk/course/index.php?categoryid=124, , , , , , , ,"
                
                ", 
8, , ,https://nulms.namal.edu.pk/course/index.php?categoryid=141, , , , , , , ,"
                ", 
9, , ,https://nulms.namal.edu.pk/course/view.php?id=446, , , , , , , ,"
                ", 
10, , ,https://nulms.namal.edu.pk/course/view.php?id=445, , , , , , , ,"
                    ", 
11, , ,https://nulms.namal.edu.pk/course/view.php?id=444, , , , , , , ,You are not logged in. (, 
12, , ,https://nulms.namal.edu.pk/course/view.php?id=443, , , , , , , ,Log in, 
13, , ,https://nulms.namal.edu.pk/course/view.php?id=442, , , , , , , ,), 
14, , ,https://nulms.namal.edu.pk/course/view.php?id=441, , , , , , , ,"
                ", 
15, , ,https://nulms.namal.edu.pk/course/view.php?id=440, , , , , , , ,"
            ", 
16, , ,https://nulms.namal.edu.pk/course/index.php?categoryid=142, , , , , , , ,"
                ", 
17, , ,https://nulms.namal.edu.pk/course/index.php?categoryid=125, , , , , , , , , 
18, , ,https://nulms.namal.edu.pk/course/index.php?categoryid=143, , , , , , , , , 
19, , ,https://nulms.namal.edu.pk/course/view.php?id=475, , , , , , , , , 
