,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,Admissions,Heading2,Heading3,Heading4,To,Academic,Academic
,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,Admissions,Heading2,Heading3,Heading4,To,Academic,Academic
1,people,visit,Admission, , ,Think,Contribute,Calendar,Calendar
2,#,our,Timeline, , ,Green,Visiting,|,|
3,faculty,fundraising,Heading1, , ,Save,Namal,Faculty,Faculty
4,quality-enhancement-cell,website,Life, , ,The,Important,|,|
5,lms.namal.edu.pk,below,At, , ,Enviroment,Links,QEC,QEC
6,http,:,Namal, , ,Namal,Resources,|,|
7,:,March,Green, , ,Valley,Heading5,NULMS,NULMS
8,library.namal.edu.pk,10,Namal, , ,namal,To,|,|
9,contact-us,",", , , ,lake,Contribute,Library,Library
10,#,2021, , , ,namal,Visiting,|,|
11,about,August, , , ,dam,Namal,Contact,Contact
12,chairmans-message,20, , , , ,Important,Us,Us
13,vision-and-mission,",", , , , ,Links,About,About
14,core-values,2021, , , , ,Resources,Chairman,Chairman
15,the-namal-story,The, , , , , ,'s,'s
16,namal-knowledge-city,Institute, , , , , ,Message,Message
17,people,reserves, , , , , ,Vision,Vision
18,quality-enhancement-cell,the, , , , , ,And,And
19,#,right, , , , , ,Mission,Mission
20,academics,to, , , , , ,Core,Core
21,academic-calendar,change, , , , , ,Values,Values
22,student-handbook,dates, , , , , ,The,The
23,#,and, , , , , ,Namal,Namal
24,departments,deadlines, , , , , ,Story,Story
25,#,for, , , , , ,Namal,Namal
26,department-of-electrical-engineering,admissions, , , , , ,Knowledge,Knowledge
27,department-of,., , , , , ,City,City
28,puter-science,Please, , , , , ,People,People
29,department-of-business-studies,keep, , , , , ,Quality,Quality
30,department-of-mathematics,informed, , , , , ,Enhancement,Enhancement
31,#,of, , , , , ,Cell,Cell
32,office-of-the-registrar,any, , , , , ,Academics,Academics
33,office-of-the-coe,changes, , , , , ,Academic,Academic
34,office-of-the-treasurer,by, , , , , ,Calendar,Calendar
35,#,visiting, , , , , ,Student,Student
36,admissions,periodically, , , , , ,Handbook,Handbook
37,apply,as, , , , , ,Departments,Departments
38,why-namal,well, , , , , ,Academic,Academic
39,admission-timeline,as, , , , , ,Departments,Departments
40,admission-criteria,the, , , , , ,Department,Department
41,entry-test-guidelines,Namal, , , , , ,Of,Of
42,financial-aid,online, , , , , ,Electrical,Electrical
43,fee-structure,application, , , , , ,Engineering,Engineering
44,deposit-slip,., , , , , ,Department,Department
45,faqs,Paragraph, , , , , ,Of,Of
46,#,Please, , , , , ,Computer,Computer
47,life-at-namal,visit, , , , , ,Science,Science
48,workshops-and-seminars,our, , , , , ,Department,Department
49,facilities,fundraising, , , , , ,Of,Of
50,green-namal,website, , , , , ,Business,Business
51,news-events,below, , , , , ,Studies,Studies
52,apply,:, , , , , ,Department,Department
53,namalknowledgecity,The, , , , , ,Of,Of
54,academic-calendar,vision, , , , , ,Mathematics,Mathematics
55,people,of, , , , , ,Administrative,Administrative
56,#,building, , , , , ,Departments,Departments
57,faculty,Namal, , , , , ,Office,Office
58,quality-enhancement-cell,Knowledge, , , , , ,Of,Of
59,lms.namal.edu.pk,City, , , , , ,The,The
60,http,thrives, , , , , ,Registrar,Registrar
61,:,on, , , , , ,Office,Office
62,library.namal.edu.pk,the, , , , , ,Of,Of
63,contact-us,very, , , , , ,The,The
64,apply,premise, , , , , ,CoE,CoE
65,why-namal,of, , , , , ,Office,Office
66,admission-timeline,protecting, , , , , ,Of,Of
67,admission-criteria,our, , , , , ,The,The
68,entry-test-guidelines,natural, , , , , ,Treasurer,Treasurer
69,financial-aid,",", , , , , ,Admissions,Admissions
70,fee-structure,social, , , , , ,Apply,Apply
71,deposit-slip,and, , , , , ,Now,Now
72,faqs,physical, , , , , ,Why,Why
73,#,environment, , , , , ,Namal,Namal
74,#,",", , , , , ,?,?
75,namalknowledgecity,particularly, , , , , ,Admission,Admission
76,apply,that, , , , , ,Timeline,Timeline
77,academic-calendar,of, , , , , ,Admission,Admission
78,people,Namal, , , , , ,Criteria,Criteria
79,#,Valley, , , , , ,Entry,Entry
80,faculty,., , , , , ,Test,Test
81,nulms.namal.edu.pk,The, , , , , ,Guidelines,Guidelines
82,http,objective, , , , , ,Financial,Financial
83,:,is, , , , , ,Aid,Aid
84,library.namal.edu.pk,to, , , , , ,Fee,Fee
85,#,provide, , , , , ,Structure,Structure
86,!,an, , , , , ,Deposit,Deposit
87,facilities,enabling, , , , , ,Slip,Slip
88,facebook,academic, , , , , ,FAQs,FAQs
89,NAmalInstitute,and, , , , , ,Life,Life
90,twitter,professional, , , , , ,At,At
91,namaledu,environment, , , , , ,Namal,Namal
92,instagram,to, , , , , ,Workshops,Workshops
93,namalknowledgecity,our, , , , , ,And,And
94,mailto,students, , , , , ,Seminars,Seminars
95,:,to, , , , , ,Facilities,Facilities
96,info,nurture, , , , , ,Green,Green
97,@,a, , , , , ,Namal,Namal
98,namal.edu.pk,culture, , , , , ,News,News
99,youtube,of, , , , , ,&,&
100,channel,environment, , , , , ,Events,Events
101,UCWfFHczAYAn-mfqMgmmKsVQ,protection, , , , , ,Apply,Apply
102,forecast7,that, , , , , ,Online,Online
103,en,is, , , , , ,Contribute,Contribute
104,32d6771d81,an, , , , , ,Academic,Academic
105,namal,essential, , , , , ,Calendar,Calendar
106,Links,requirement, , , , , ,|,|
107,academic-calendar,for, , , , , ,Faculty,Faculty
108,people,prosperous, , , , , ,|,|
109,#,and, , , , , ,QEC,QEC
110,faculty,progressive, , , , , ,|,|
111,quality-enhancement-cell,Pakistan, , , , , ,NULMS,NULMS
112,lms.namal.edu.pk,., , , , , ,|,|
113,http,The, , , , , ,Library,Library
114,:,word, , , , , ,|,|
115,library.namal.edu.pk,GREEN, , , , , ,Contact,Contact
116,contact-us,symbolizes, , , , , ,Us,Us
117,#,the, , , , , ,Apply,Apply
118,about,colors, , , , , ,Now,Now
119,chairmans-message,of, , , , , ,Why,Why
120,vision-and-mission,paradise, , , , , ,Namal,Namal
121,core-values,while, , , , , ,?,?
122,the-namal-story,the, , , , , ,Admission,Admission
123,namal-knowledge-city,word, , , , , ,Timeline,Timeline
124,people,Namal, , , , , ,Admission,Admission
125,quality-enhancement-cell,(, , , , , ,Criteria,Criteria
126,#,translated, , , , , ,Entry,Entry
127,academics,‘, , , , , ,Test,Test
128,academic-calendar,anmoal, , , , , ,Guidelines,Guidelines
129,student-handbook,’, , , , , ,Financial,Financial
130,#,in, , , , , ,Aid,Aid
131,departments,Urdu, , , , , ,Fee,Fee
132,#,), , , , , ,Structure,Structure
133,department-of-electrical-engineering,means, , , , , ,Deposit,Deposit
134,department-of,priceless, , , , , ,Slip,Slip
135,puter-science,(, , , , , ,FAQs,FAQs
136,department-of-business-studies,invaluable, , , , , ,Home,Home
137,department-of-mathematics,), , , , , ,Admissions,Admissions
138,#,land, , , , , ,Admission,Admission
139,office-of-the-registrar,., , , , , ,Timeline,Timeline
140,office-of-the-coe,The, , , , , ,30,30
141,office-of-the-treasurer,topography, , , , , ,km,km
142,#,",", , , , , ,Talagang,Talagang
143,admissions,the, , , , , ,Road,Road
144,apply,landscape, , , , , ,",",","
145,why-namal,",", , , , , ,Mianwali,Mianwali
146,admission-timeline,the, , , , , ,",",","
147,admission-criteria,monuments, , , , , ,42250,42250
148,entry-test-guidelines,and, , , , , ,",",","
149,financial-aid,the, , , , , ,Pakistan,Pakistan
150,fee-structure,cultural, , , , , ,+92,+92
151,deposit-slip,history, , , , , ,(,(
152,faqs,of, , , , , ,0,0
153,#,Namal, , , , , ,),)
154,life-at-namal,valley, , , , , ,459-236995,459-236995
155,workshops-and-seminars,embraces, , , , , ,Ext,Ext
156,facilities,in, , , , , ,.,.
157,green-namal,its, , , , , ,101,101
158,news-events,fold, , , , , ,",",","
159,apply,the, , , , , ,107,107
160,namalknowledgecity,very, , , , , ,info,info
161,academic-calendar,essence, , , , , ,@,@
162,people,of, , , , , ,namal.edu.pk,namal.edu.pk
163,#,Green, , , , , ,Namal,Namal
164,faculty,Namal, , , , , ,Knowledge,Knowledge
