,Term,Documented Frequency,Posting List
160,from,43,"['Doc_0', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_11', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_31', 'Doc_32', 'Doc_34', 'Doc_36', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
161,what,22,"['Doc_0', 'Doc_2', 'Doc_4', 'Doc_6', 'Doc_8', 'Doc_11', 'Doc_15', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_36', 'Doc_38', 'Doc_55', 'Doc_56']"
162,'s,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
163,happen,16,"['Doc_0', 'Doc_2', 'Doc_4', 'Doc_8', 'Doc_11', 'Doc_15', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31']"
164,?,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
165,programm,9,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_41', 'Doc_45', 'Doc_47']"
166,At,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
167,make,20,"['Doc_0', 'Doc_3', 'Doc_4', 'Doc_6', 'Doc_9', 'Doc_11', 'Doc_15', 'Doc_17', 'Doc_27', 'Doc_32', 'Doc_36', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_53', 'Doc_54']"
168,A,13,"['Doc_0', 'Doc_4', 'Doc_5', 'Doc_8', 'Doc_9', 'Doc_11', 'Doc_15', 'Doc_16', 'Doc_18', 'Doc_28', 'Doc_49', 'Doc_50', 'Doc_51']"
169,great,4,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15']"
170,choic,4,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15']"
171,scholarship,18,"['Doc_0', 'Doc_4', 'Doc_5', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_11', 'Doc_15', 'Doc_28', 'Doc_34', 'Doc_36', 'Doc_38', 'Doc_45', 'Doc_46', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
172,teacher,6,"['Doc_0', 'Doc_3', 'Doc_4', 'Doc_9', 'Doc_11', 'Doc_15']"
173,To,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
174,ratio,6,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15', 'Doc_55', 'Doc_56']"
175,',6,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15', 'Doc_45', 'Doc_46']"
176,divers,11,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_15', 'Doc_23', 'Doc_33', 'Doc_42', 'Doc_53', 'Doc_54']"
177,graduat,19,"['Doc_0', 'Doc_4', 'Doc_5', 'Doc_8', 'Doc_9', 'Doc_11', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_27', 'Doc_28', 'Doc_40', 'Doc_41', 'Doc_43', 'Doc_47', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
178,employ,8,"['Doc_0', 'Doc_3', 'Doc_4', 'Doc_9', 'Doc_11', 'Doc_15', 'Doc_53', 'Doc_54']"
179,rate,10,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_22', 'Doc_30', 'Doc_41', 'Doc_47']"
180,excel,18,"['Doc_0', 'Doc_3', 'Doc_4', 'Doc_9', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_15', 'Doc_17', 'Doc_27', 'Doc_39', 'Doc_40', 'Doc_43', 'Doc_44', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
181,...,6,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_15']"
182,lab,10,"['Doc_0', 'Doc_4', 'Doc_5', 'Doc_8', 'Doc_9', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_15', 'Doc_28']"
183,aim,19,"['Doc_0', 'Doc_4', 'Doc_6', 'Doc_11', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_23', 'Doc_27', 'Doc_32', 'Doc_33', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_47']"
184,an,39,"['Doc_0', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_8', 'Doc_9', 'Doc_11', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_55', 'Doc_56']"
185,easi,6,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15', 'Doc_22', 'Doc_30']"
186,solut,16,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_27', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_43', 'Doc_44', 'Doc_47', 'Doc_52', 'Doc_53']"
187,current,15,"['Doc_0', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_8', 'Doc_9', 'Doc_11', 'Doc_15', 'Doc_17', 'Doc_28', 'Doc_34', 'Doc_36', 'Doc_38', 'Doc_39', 'Doc_44']"
188,problem,14,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_27', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_43', 'Doc_44', 'Doc_47']"
189,agricultur,6,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_15']"
190,livestock,6,"['Doc_0', 'Doc_4', 'Doc_6', 'Doc_11', 'Doc_15', 'Doc_32']"
191,dairi,6,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15', 'Doc_49', 'Doc_50']"
192,sector,10,"['Doc_0', 'Doc_3', 'Doc_4', 'Doc_10', 'Doc_11', 'Doc_15', 'Doc_20', 'Doc_30', 'Doc_45', 'Doc_47']"
193,pakistan,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
194,paragraph,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
195,planet,4,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15']"
196,profit,4,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15']"
197,new,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
198,b.,5,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_15', 'Doc_34']"
199,electr,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
200,engin,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
201,comput,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
202,scienc,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
203,mathemat,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
204,rural,11,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_15', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
205,informat,6,"['Doc_0', 'Doc_4', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_15']"
206,heading1,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
207,heading2,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
208,heading3,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
209,heading4,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
210,contribut,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
211,import,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
212,heading5,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
213,calendar,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
214,|,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
215,qec,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
