,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,About,Heading2,DEPARTMENT,MR.,To,Academic,Academic
,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,About,Heading2,DEPARTMENT,MR.,To,Academic,Academic
1,people,visit,people, ,OF,IMRAN,Contribute,Calendar,Calendar
2,#,our,Heading1, ,COMPUTER,KHAN,Visiting,|,|
3,faculty,fundraising,About, ,SCIENCE,MR.,Namal,Faculty,Faculty
4,quality-enhancement-cell,website,Quality, ,DEPARTMENT,ABDUL,Important,|,|
5,lms.namal.edu.pk,below,Enhancement, ,OF,RAZAK,Links,QEC,QEC
6,http,:,Cell, ,ELECTRICAL,DAWOOD,Resources,|,|
7,:,Founding, , ,ENGINEERING,MR.SIKANDAR,Heading5,NULMS,NULMS
8,library.namal.edu.pk,Chairman, , ,DEPARTMENT,MUSTAFA,To,|,|
9,contact-us,Board, , ,OF,KHAN,Contribute,Library,Library
10,#,Member, , ,BUSINESS,MRS.,Visiting,|,|
11,about,Board, , ,STUDIES,ALEEMA,Namal,Contact,Contact
12,chairmans-message,Member, , ,DEPARTMENT,KHANUM,Important,Us,Us
13,vision-and-mission,Board, , ,OF,DR.,Links,About,About
14,core-values,Member, , ,MATHEMATICS,ARIF,Resources,Chairman,Chairman
15,the-namal-story,Board, , ,Heading3,NAZIR, ,'s,'s
16,namal-knowledge-city,Member, , , ,BUTT, ,Message,Message
17,people,Board, , , ,MR., ,Vision,Vision
18,quality-enhancement-cell,Member, , , ,SHAHZAD, ,And,And
19,#,Board, , , ,HUSSAIN, ,Mission,Mission
20,academics,Member, , , ,DR., ,Core,Core
21,academic-calendar,Board, , , ,RASHID, ,Values,Values
22,student-handbook,Member, , , ,AMJAD, ,The,The
23,#,Board, , , ,MR., ,Namal,Namal
24,departments,Member, , , ,ASHAR, ,Story,Story
25,#,PROFESSOR, , , ,AZIZ, ,Namal,Namal
26,department-of-electrical-engineering,PROFESSOR/DIRECTOR, , , ,MR., ,Knowledge,Knowledge
27,department-of,QEC, , , ,SHAHRYAR, ,City,City
28,puter-science,ASSOCIATE, , , ,NAWABI, ,People,People
29,department-of-business-studies,PROFESSOR/, , , ,DR., ,Quality,Quality
30,department-of-mathematics,HOD, , , ,M., ,Enhancement,Enhancement
31,#,ASSOCIATE, , , ,NAEEM, ,Cell,Cell
32,office-of-the-registrar,PROFESSOR, , , ,AYAZ, ,Academics,Academics
