,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5
0,http://library.namal.edu.pk/,Namal Library catalog,/cgi-bin/koha/opac-main.pl,/opac-tmpl/bootstrap/images/menus/header2.jpg,"
", ,Log in to your account,Mon to Sat, , 
1, , ,#,/opac-tmpl/bootstrap/images/pics/1.png,"
", ,About Library,Juma Break, , 
2, , ,#,/opac-tmpl/bootstrap/images/pics/2.png, , ,Information service, , , 
3, , ,/cgi-bin/koha/opac-shelves.pl?op=list&category=2,/opac-tmpl/bootstrap/images/pics/3.png, , ,Quick Links, , , 
4, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=37&sortfield=title,/opac-tmpl/bootstrap/images/pics/4.png, , ,Help, , , 
5, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=38&sortfield=title, , , , , , , 
6, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=3&sortfield=title, , , , , , , 
7, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=2&sortfield=title, , , , , , , 
8, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=7&sortfield=title, , , , , , , 
9, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=14&sortfield=title, , , , , , , 
10, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=28&sortfield=title, , , , , , , 
11, , ,/cgi-bin/koha/opac-shelves.pl?op=view&shelfnumber=15&sortfield=title, , , , , , , 
12, , ,/cgi-bin/koha/opac-shelves.pl?op=list&category=2, , , , , , , 
13, , ,/cgi-bin/koha/opac-shelves.pl?op=list&category=1, , , , , , , 
14, , ,/cgi-bin/koha/opac-shelves.pl?op=add_form, , , , , , , 
15, , ,/cgi-bin/koha/opac-user.pl, , , , , , , 
16, , ,/cgi-bin/koha/opac-search-history.pl, , , , , , , 
17, , ,/cgi-bin/koha/opac-search-history.pl?action=delete, , , , , , , 
18, , ,/cgi-bin/koha/opac-main.pl, , , , , , , 
19, , ,/cgi-bin/koha/opac-search.pl, , , , , , , 
20, , ,/cgi-bin/koha/opac-browser.pl, , , , , , , 
21, , ,/cgi-bin/koha/opac-authorities-home.pl, , , , , , , 
22, , ,/cgi-bin/koha/opac-tags.pl, , , , , , , 
23, , ,/cgi-bin/koha/opac-topissues.pl, , , , , , , 
24, , ,/cgi-bin/koha/opac-library.pl, , , , , , , 
25, , ,/cgi-bin/koha/opac-library-collection.pl, , , , , , , 
26, , ,/cgi-bin/koha/opac-library-timings.pl, , , , , , , 
27, , ,/cgi-bin/koha/opac-library-policy.pl, , , , , , , 
28, , ,/cgi-bin/koha/opac-about-library.pl, , , , , , , 
29, , ,/cgi-bin/koha/opac-library-map.pl, , , , , , , 
30, , ,/cgi-bin/koha/opac-staff.pl, , , , , , , 
31, , ,/cgi-bin/koha/opac-membership.pl, , , , , , , 
32, , ,/cgi-bin/koha/opac-ebook.pl, , , , , , , 
33, , ,/cgi-bin/koha/opac-shelves.pl?viewshelf=2&sortfield=, , , , , , , 
34, , ,/cgi-bin/koha/opac-magzines.pl, , , , , , , 
35, , ,#, , , , , , , 
36, , ,http://www.allnewspapers.com/, , , , , , , 
37, , ,http://digitallibrary.edu.pk/namal_college.html, , , , , , , 
38, , ,https://www.namal.edu.pk, , , , , , , 
39, , ,http://www.doaj.org/, , , , , , , 
40, , ,#, , , , , , , 
41, , ,#, , , , , , , 
42, , ,/cgi-bin/koha/opac-contact.pl, , , , , , , 
